,Company,JobTitle,Location,EmploymentType,Seniority,Category,GovSupport,SalaryRange,JobLink,PostedDate,ClosingDate,RoleResponsibility,Requirements
91,RESOURCE SOLUTIONS CONSULTING SINGAPORE PTE. LTD.,Analyst / Associate - Data Management,South,Permanent ...,Executive,Human Resources  ...,Government support available,"$2,850to$6,633Monthly",/job/2effcaa299e28d0a2ec27a5299cf79cc,10-Apr-18,25-Apr-18,"MUFG Bank, Ltd, a member of Mitsubishi UFJ Financial Group Inc (MUFG), is Japanâ€™s premier bank, with a global network spanning more than 40 countries. Outside of Japan, MUFG offers an extensive scope of commercial and investment banking products and services to businesses, governments and individuals worldwide. Â  In the Asia and Oceania region, MUFG has presence in 13 key markets with 32 offices and closed to 4,500 employees serving largely corporate and institutional clients. Singapore has served as the regional headquarters for South Asia, South-east Asia and the Oceania region since July 2013. While the regional headquarters for the East Asia region remains in Japan. Â  MUFG is one of the worldâ€™s leading financial groups with total assets of JPY 258.1 trillion by the end of March 2014. MUFGâ€™s services include commercial banking, trust banking, securities, credit cards, consumer finance, asset management, and leasing. Â  The Groupâ€™s operating companies include MUFG, Mitsubishi UFJ Trust and Banking Corporation (Japanâ€™s leading trust bank), and Mitsubishi UFJ Securities Holdings Co., Ltd., one of Japanâ€™s largest securities firms. MUFGâ€™s shares are traded on the Tokyo, Nagoya, and New York (NYSE: MTU) stock exchanges respectively. Job responsibilities include: Data Management for BTMU is responsible for all AML Sanctions DG data quality monitoring, business and technical metadata management (ex. Data Dictionary), DQ issue management, Change Management activities impacting KDEs/CDEs.  Data Quality monitoring. Maintain Business and Technical Metadata as required. Lead the issue management end to end process. Ensure the change management and update the assigned information in the Data Dictionary. Support selecting KDEs and manage local CDEs.  Â  Â  Â ","Job requirements include:  Good Â stakeholder management skills Good Â time management and strong discipline in keeping to project milestones Well organised and disciplined in maintaining project documentation Confident and comfortable in dealing with stakeholders Ability to work flexible hours from time to time due to time zone differences Willingness to take on ad-hoc tasks as assigned from time to time Developing documentation to include local and regional requirements and user requirements for Data Governance Assist in completing impact assessment of requirement to systems, process and operations with key focus on local and regional requirements  Recruiter Name: Wiharjo Hartanto EA License No: 12C5536 EA Registration No: R1659426 Kindly note that only shortlisted candidates will be notified. Â  Â "
92,CARAT MEDIA SERVICES SINGAPORE PTE LTD,Head of Data & Technology,South,Contract ...,Senior Executive,Information Technology,Government support available,"$8,000to$16,000Monthly",/job/3b92df4c493b05c3d36990445ae27b16,9-Apr-18,9-May-18,"Summary: iProspect helps our clients achieve transformative change in the digital economy.Â  Gleaning insight from data is fundamental to that change.Â  We are looking for an experienced technology & analytics practitioner to help grow the data practice of our Singapore Hub by leading from the front. You will have a deep specialism in digital analysis, which gives you the gravitas to coach clients and internal teams on how to make impactful business decisions.Â  Your understanding of the converging AdTech and MarTech spaces will be broad, positioning you as a trusted advisor.Â  At ease leading a team of 20, you will oversee the departmentâ€™s growth, efficiency gains and innovation as it collaborates with similar hubs around APAC. You will join a distinctly ambitious team, working closely with diverse skillsets from across Dentsu Aegis Network.Â  We ask a lot, but in return youâ€™ll see your career grow rapidly in an industry at the heart of the digital revolution. Detailed Description:  The key elements of the role are;  Subject matter expertise; credibility to inspire a talented team of Analytics, Data Operations and Consulting professionals Focus on the teamâ€™s delivery, development and integration with the broader agency group Upwards of 70% of your time will be spent on client-focused work; you must be able to translate the complex into easy to understand, commercially relevant messages Support the General Manager as their go-to person for a breadth of technology & analytics projects to deliver on revenue and innovation targets Play a key role in our data community, both locally and globally, sharing best practice with specialists across a range of disciplines including data strategy, tech stack deployment, engineering, visualisation, optimisation and modelling ","Skills & Experience Required: The role will best suit someone with around 8-15 yearsâ€™ relevant experience. Essential qualities  Proven experience in delivering technical digital analytics projects. Â Your background will likely be in Ad/MarTech, business intelligence, customer analytics, technical consulting, or some combination of those disciplines.Â  Whilst an agency track record is not necessary, an excellent grasp of marketing, its associated technologies and the business processes such systems underpin, is essential An ability to manage managers; your team will contain relative juniors as well as your technical peers â€“ you will need to remain accessible to all levels. Great interpersonal skills; ability to build and maintain strong working relationships, as well as an empathy for resistance to change Excellent communication skills; able to explain technical concepts to a diverse audience An eye for innovation; in analytical approaches, business process and commercial structure Â  Gravitas as a thought leader in Asia A willing mentor; acutely aware of the value in helping others learn An ambition for personal development; the appetite to define your own career path Remain calm when faced with multiple tasks; able to prioritise and deliver on time A disposition towards solutions, not problems Fluency in English (written and oral)  Additional skills   Deep technical skillsets, e.g. SQL, R, Python, Javascript; Ad/MarTech package configuration skills and their like are welcomed, but your most recent focus will have been on managing others with these abilities "
93,GRABTAXI HOLDINGS PTE. LTD.,CRM Data & Analytics Senior Manager,South,Contract ...,Senior Executive,Information Technology,,"$7,500to$10,000Monthly",/job/2cfe92467394f9652e29e549544d1489,9-Apr-18,9-May-18,"We're looking for a Data Analytics Manager to join our Marketing Analytics team to provide data expertise as we improve the growth, retention, engagement, and brand affinity of the riders and drivers on the Grab platform. In the role you'll be part of and work closely with a cross-functional team consisting of strategy, design, development, and program managers. Â  You possess a passion for improving techniques, processes, tracking, analytical insights and technology used by marketing to achieve our bold goals. This person will help address the complex challenges of experiment design, marketing effectiveness, contact strategy, return on investment, driver and rider behavior and channel effectiveness using state of the art machine learning models Â  As a member of marketing analytics, you will not only be able to develop the team, but also help define the way marketing performance is calibrated and what questions should be asked. You'll play a big part in finding opportunity fields to help the marketing function scale as we develop onboarding, engagement and retention strategies.Â  You will also learn and apply advanced analytics skills like experimental design, machine learning, statistical modeling, and more. Â  What Youâ€™ll Do  Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies. Working closely with the CRM marketing team, responsible for CRM campaign pre and post analysis, cohorting, experiment design, segmentation, KPI measurement and more. Collaborate on project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc. Choose the proper metrics for tracking and understanding current and future experiments. Develop dashboards that provide reliable insights and visualization into rider and channel performance relative to KPIs, projections, and historical performance. Implement and analyze A/B or Multi-Variate Tests to provide actionable insights to the marketing team on the test data. Present findings to senior management to drive business and marketing decisions. Use tools such as Google Sheet, Tableau and many internal tools to work efficiently at scale. ","What Youâ€™ll Need  BS/MS in Engineering, Computer Science, Math, Economics, Statistics, or equivalent experience. At least 3-5 years of analytical and database experience. Marketing analytics or consulting experience is a plus. At least 2 years of people management experience. Excellent SQL skills. Excellent data visualization skills. Experience creating dashboard reporting in Tableau or a similar visualization tool a plus. Proficiency with multiple analytic and database tools (e.g Tableau, Hive, Presto, Vertica, Jupyter notebooks) Speed, resourcefulness and a go-getter attitude. Moving quickly and executing to allow for continual iteration is a core qualification of our team. Someone who is willing to contribute new ideas and articulate them to a variety of stakeholders and not just execute on existing ones A commitment to learning - We want someone who seeks to deliver impact, but also invests in themselves and others. We donâ€™t get better by standing still, so you will need to consistently seek to innovate and raise the bar A love of data - you just go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis  Â "
94,GRABTAXI HOLDINGS PTE. LTD.,CRM Data & Analytics Manager,East,Full Time,Non-executive,Others,,"$5,000to$9,000Monthly",/job/6464d1ffcf6ac0113cc722a8b6991663,9-Apr-18,9-May-18,"We're looking for a Data Analytics Manager to join our Marketing Analytics team to provide data expertise as we improve the growth, retention, engagement, and brand affinity of the riders and drivers on the Grab platform. In the role you'll be part of and work closely with a cross-functional team consisting of strategy, design, development, and program managers. Â  You possess a passion for improving techniques, processes, tracking, analytical insights and technology used by marketing to achieve our bold goals. This person will help address the complex challenges of experiment design, marketing effectiveness, contact strategy, return on investment, driver and rider behavior and channel effectiveness using state of the art machine learning models Â  As a member of marketing analytics, you will not only be able to develop the team, but also help define the way marketing performance is calibrated and what questions should be asked. You'll play a big part in finding opportunity fields to help the marketing function scale as we develop onboarding, engagement and retention strategies.Â  You will also learn and apply advanced analytics skills like experimental design, machine learning, statistical modeling, and more. Â  What Youâ€™ll Do  Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies. Working closely with the CRM marketing team, responsible for CRM campaign pre and post analysis, cohorting, experiment design, segmentation, KPI measurement and more. Collaborate on project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc. Choose the proper metrics for tracking and understanding current and future experiments. Develop dashboards that provide reliable insights and visualization into rider and channel performance relative to KPIs, projections, and historical performance. Implement and analyze A/B or Multi-Variate Tests to provide actionable insights to the marketing team on the test data. Present findings to senior management to drive business and marketing decisions. Use tools such as Google Sheet, Tableau and many internal tools to work efficiently at scale. ","What Youâ€™ll Need  BS/MS in Engineering, Computer Science, Math, Economics, Statistics, or equivalent experience. At least 3-5 years of analytical and database experience. Marketing analytics or consulting experience is a plus. At least 2 years of people management experience. Excellent SQL skills. Excellent data visualization skills. Experience creating dashboard reporting in Tableau or a similar visualization tool a plus. Proficiency with multiple analytic and database tools (e.g Tableau, Hive, Presto, Vertica, Jupyter notebooks) Speed, resourcefulness and a go-getter attitude. Moving quickly and executing to allow for continual iteration is a core qualification of our team. Someone who is willing to contribute new ideas and articulate them to a variety of stakeholders and not just execute on existing ones A commitment to learning - We want someone who seeks to deliver impact, but also invests in themselves and others. We donâ€™t get better by standing still, so you will need to consistently seek to innovate and raise the bar A love of data - you just go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis  Â "
95,KKT TECHNOLOGY PTE. LTD.,Data Scientist,East,Full Time,Non-executive,Others,Government support available,"$3,800to$6,200Monthly",/job/c9716fe8ce92156b0f32d2ec5d492fc5,9-Apr-18,9-May-18," Responsibilities  Develop predictive models on clinical and healthcare related datasets to address various business problems of healthcare and pharma clients through leveraging advanced statistical modeling, machine learning, or data mining techniques Engage in both exploratory data analysis to identify trends and predictive data analysis to solve problems Understand client needs, frame a problem in terms of application of data science and create a roadmap to execution Supervise & mentor junior members of the data science team Learn about new and varied disease conditions and ability to communicate with subject matter experts Create visualizations to effectively communicate the insights both internally and externally for both scientific and business audience "," Requirements Minimum  Deep understanding of statistical modeling, machine learning, data mining concepts, optimization etc. Experience with analysis tools (Python, R, etc.) Proficient in one or more programming languages such as Python, Java, C/C++, Matlab Familiar with one or more machine learning and statistical modeling tools such as R, Python scipy, scikit-learn, TensorFlow etc. Strong analytical and quantitative problem solving ability. Excellent communication, interpersonal relationship skills and a strong team player  Preferred  PhD or MS in Computer Science, Physics, Engineering, Statistics, Applied Math, Bioengineering, Bioinformatics or related field Prior experience in using predictive modeling or data driven analysis in biological or healthcare related data Proficiency in programming languages like Python, Java etc. Experience in applying predictive modeling in consulting or industry setting Knowledge and experience of working with relational databases and SQL Experience with software development tools like linux command line utilities, version control systems (git strongly preferred) and test driven development  Perks  Ground floor opportunity with the team to shape the strategic direction of the company The rare opportunity to change the world such that everyone around you is using the product you built. We're not just another social web app, we're helping real people and reinventing healthcare globally. Sharp, motivated co-workers in a fun office environment  Bottomline  You have to be ready to hustle! We move super fast. We work at an ambitious scale. You must be ready and excited to learn on your feet and help build next generation global healthcare company. "
96,CAPITALAND LIMITED,"Executive, Data & Insights",Central,Permanent,Professional,Information Technology,Government support available,"$3,000to$4,000Monthly",/job/7982260a65172ea63f1833c08c6786a7,6-Apr-18,6-May-18," Contribute to design, build, test, deployment and operations phases of the Enterprise Data Platform for the current and future projects, playing a technical role. Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as social media, WiFi information Conduct advanced data analysis and complex designs algorithm "," Degree in Data Analytics or related field Possess strong technology and analytical skills Strong willingness to learn on the job continuously, embracing new and varied technologies that are centered around all aspects of data management Able to work independently when required Proactively clarify on priorities and timelines to achieve timely completion of assigned task Strong communication skills, can-do attitude and willingness to perform hands-on work is necessary Experience in data infrastructure, data modelling, ETL development, business intelligence, data quality, data cleansing, master data management, data architecture and data migration preferred Familiar with tools like Microsoft stack of analytics products (SQL Server, Azure Data Warehouse, Integration services, Data Quality, Master Data Services, Power BI) "
97,Ministry of Communications and Information,TEMP (RESEARCH AND DATA) â€“ 3 MONTHS,Central,Permanent,Professional,Information Technology,,Salary undisclosed,/job/aad393bf506d819ab327936257daee32,6-Apr-18,19-Apr-18,"Job Scope
Develop schema to store social science survey data in an SQL database.
Design and build Python code to convert social science survey data stored in SPSS/Excel to SQL schema and populate the MS SQL database.
Design and build application for data extraction from MS SQL database.
Design and build applications for evolving needs e.g. analysis/visualization of data.
Â 
Job Requirements 
Background in Computer Science / Information Technology / Statistics, or its equivalent.
Experience with MS SQL.
Experience with data wrangling in Python.
Experience with designing and building databases.
Excellent analytical and problem solving skills with the ability to think of alternatives.
Able to work independently.
",-
98,JEWEL PAYMENTECH PTE. LTD.,Data Engineer,Central,Contract,Professional,Others,,Salary undisclosed,/job/46421b301df18f3ab0554bae4770301b,4-Apr-18,30-Apr-18,"As a Data Engineer you will get to work on a wide range of problems using the cutting-edge technologies in Big Data and Data Science. You are required to translate Data science and Machine learning based solutions into scalable code, and to develop innovative solutions to collect/cleanse/store/process data. In case you are very passionate about building high throughput, low latency, fault tolerant software then this position is for you. To be successful in this role, you will need to:  Analyze requirements and deliver solutions that meet requirements. Write code by using best software development practices. Produce code that meets security standards. Estimate timelines and deliver solutions within agreed timeline. Write clear & concise documentation for solutions/code. Contribute ideas within team to build better code. Continuously improve knowledge on new technologies. Excellent in English, both written and spoken. "," Two or more years of relevant work experience. B.Sc., Masters, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.). Knowledge in the use and application of Python to develop complex software. General machine learning techniques and technologies (e.g., Bayesian classifiers, regression techniques, graphical models, working with unbalanced data-sets) as well as applications (e.g., predictive analytics). NoSQL Database Programming/Development. Manipulation of various types of data; data cleaning, filtering, and pre-processing for example with text/images. Knowledge and experience in the use of cloud computing platforms (AWS/Azure/GCP/etc). SQL familiarity and database technologies (e.g., row versus column stores, in-memory DB, DB clustering, HA for DB). Familiarity and experience with Linux environments. Understanding batch (e.g., Apache Hadoop / Map Reduce) and stream processing approaches / frameworks (e.g., Apache Spark).  Â  Youâ€™re a perfect fit us if you are  A master problem solver, and able to use own initiative to develop suitable solutions. A strong communicator with the ability to convey information to others in a simple and unambiguous way. An innovative, original thinker approach to job responsibilities, methods and processes. An energetic person who can be trusted to get a job done. "
99,INFINITE COMPUTER SOLUTIONS PTE LTD,Data Center Operator,Central,Contract,Professional,Others,Government support available,"$4,000to$5,500Monthly",/job/97e9037cee5fd005fd6f652f332126a9,3-Apr-18,3-May-18,"Â  To support the bankâ€™s core IT infrastructure facility operation in Data Centre, Development Centre and remote buildings. Responsibilities Â   To support the Data Centres and remote buildings IT room facility and structured cablings. Manage the capacity and provision of power, space, rack, structured cablings. Review Monthly Data Centre power consumptions against bills, monthly SLA with Landlord Promptly alert and escalate Facility issues (include false alert) according to the escalation procedures. Maintain the overall Data centre and Server room Inventories. Review facility maintenance activities and schedules. Provide onsite supervision for all critical facility maintenance. Track, record, report and manage all equipment move-in and move-out of the data centres with proper approval. e.g. assign rack for new equipment move-in, move out from rack  Â "," Minimum a Diploma in related areas to Electrical or Mechanical Engineering Minimum 2 years Data Centre management and/or facility management. Good understanding of the Data Centre environment, and the working restrictions applicable to such environments Good familiarity with Critical Environment systems, and infrastructure, including: Generators, UPS battery backup systems, high volume cooling equipment, electrical distribution equipment, etc. Experienced in managing Data Centre vendors and project execution.  EA License No. - 14C6941ã€€ Â "
100,CAREERLIBRARY PTE. LTD.,Data Analyst (Fintech),Central,Permanent ...,Executive,Banking and Finance ...,Government support available,"$3,600to$4,000Monthly",/job/06a0a46f8106de169fc362dfaa1db09c,3-Apr-18,3-May-18,"We are a Leading Global Blockchain Asset Financial Service Provider. We offer quality service for over millions of users from over 130 countries. In terms of technology platform, product line, security risk management system, operations and customer service, toegther with its sub-brands are at a world-leading level compared with global peers.Â  We are looking for a dyanmic Data AnalystÂ who is passionate and highly motivated to join our Global Operations CentreÂ in Singapore. Responsibilities:  Have strong business acumen to collect and interpret complex financial data, analyse results using statistical techniques and provide ongoing reports to accomplish organisation goals. Develop and implement operations & databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality to solve business problems. Filter and â€œcleanâ€ù data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems. Work with all departments such as marketing, operation, compliance community and management to prioritize strategies and directions. Process Improvement and opportunities identified. ","Requirements  MSc / BSc Degree in Mathematics, Economics, Computer Science, Information Management or Statistics Data analyst or business data analyst training and experience. Technical expertise regarding data models, database design development, data mining and segmentation techniques. Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL & Excel etc.), programming (XML, Javascript, or ETL frameworks). Knowledge of statistics and experience using statistical packages for analyzing datasets (At least one of the following: Python, R, SPSS, SAS). Strong analystical skills with the ability to collect, organize, analyze and disseminate significant amount of information with attention to detail and accuracy. Adept at queries, report writing and presenting findings. Able to start work immediately or on a short notice is preferred. Drive, competence, flexibility and a willingness to learn. Business mandarin proficiency is an advantage. Ability to work under pressure / tight deadlines. Good teamwork, analytical and problem-solving skills. Stay abreast of current affairs and have a good sense of business acumen. Able to start work immediately or on a short notice is preferred.  Salary range S$3600 to S$4000 per month Interested candidates, please email resume to mengsu.careerlibrary@gmail.com"
101,APPLE SOUTH ASIA PTE. LTD.,Senior Data Engineer,Central,Permanent ...,Executive,Banking and Finance ...,,"$8,000to$16,100Monthly",/job/c0c72b703207d0af4f42860dc59edf08,28-Mar-18,27-Apr-18,"Weâ€™re a diverse collection of thinkers and doers, continually reimagining our products, systems, and practices to help people do what they love in new ways. This is a deeply collaborative place, where everything we create is the result of people in different roles and teams working together to make each otherâ€™s ideas stronger. That same passion for innovation that goes into our products also applies to our practices, strengthening our commitment to leave the world better than we found it. Today, the Apple Online Store provides one of the best multichannel commerce experiences in the world, and operates in 37 countries world-wide. The ideal candidate will be a team player with a forward thinking mindset, ability and confidence to challenge the status quo to define future visions. The role requires in-depth knowledge with cutting-edge big data technologies. Tuning, troubleshooting and scaling these big data technologies, where having a curiosity with the internal workings of these systems is key to being successful. This is a hard-core software engineering role, where a large part of an engineer's time is spent writing code with the remainder being spent on designing and architecting systems, tuning and debugging big data systems, supporting production systems and supporting data scientists. At the Apple Online Store (AOS), its Engineering team is responsible for the global eCommerce platform that serves millions of customers around the world. Â We are a team of highly skilled Engineering Managers, Engineers, Analysts and Project Managers based in Singapore, London, & Cupertino. Â  There is a great opportunity for a talented Senior Data Engineer with a proven track record of delivering complex applications to work as part of a global software Engineering team responsible for delivering groundbreaking eCommerce applications for Appleâ€™s customers. Â  Â "," Bachelors or Masters degree in Computer Science, Mathematics, or relevant industry experience or equivalent is required. Proven experience in delivering complex, scalable and resilient large-scale distributed systems. Design and build multi-tenant systems capable of loading and transforming large volume of structured and semi-structured fast moving data. Experience in large-volume data ingestion, processing, and analysis in real-time, near real-time and batch. Skilled in object-oriented programming (Java, J2EE, Spring or other MVC framework) Good understanding of distributed messaging systems (Kafka, Solace etc.) Working knowledge of Â data processing frameworks (Spark, Storm etc.) Significant years of experience of a major relational or NoSQL database (e.g. Oracle / Cassandra) Familiarity with REST modelÂ  Ability to leverage scripting languages (Python, Ruby, Bash, etc.) is a plus Usage of source version control software (e.g. Git) Commitment to code quality with experience of automated testing techniques (both static and dynamic) Excellent communication and collaborative skills. Evaluating and defining requirements and problem statements. Developing technical documentation, diagrams & flowcharts. Excitement and passion to work on amazing products "
102,HR-PRO RECRUITMENT SERVICES PTE. LTD.,Client Data & Documentation Officer (Contract),South,Permanent ...,Senior Executive,Information Technology,,"$3,000to$4,000Monthly",/job/a634b112b005a9a0ddf9824c871706b7,23-Mar-18,22-Apr-18," Assist in checking, reviewing and inputting of all client account documentation and performing client static data maintenance of client database and documentation system Play a key role in the client data maintenance and account closing process Input, check and review all client data documentation relating to corporate structure changes, signatories updates, etc. Perform static data maintenance of client database (Avaloq) and documentation system Follow up with Marketing Front on outstanding documentation Administration of E-Banking Services and provide support on client admin duties (reprint, retained and returned mails, reference letter, etc.) Maintain reports and provide statistical data updates to Team Head for monthly/quarterly reporting Build strong working relationships with Legal, Compliance, Credit and front office to deliver best practice processes Document management and custodian of client files both physical and electronic "," Bachelor Degree in Accounting, Business or any finance related field At least 3 years experience in formalities department of a bank, preferably engaged in wealth management Good interpersonal and organizational skills Is self-motivated, able to manage multiple assignments and work within a team Ability to Working knowledge of Avaloq system will be of an added advantage. work in a fast-paced and rapidly changing environment is a pre-requisite "
103,IRTISH CONSULTING PTE. LTD.,Data Analytics,South,Permanent ...,Senior Executive,Information Technology,Government support available,"$4,000to$5,000Monthly",/job/37df05b71e1452fbc87a3c3542d73a75,21-Mar-18,20-Apr-18,"We are looking for expert Data Analytics for one of our Government Agency end Client in Singapore. Person should have Data Analysis exp. in IT Systems Infrastructure or Network Management Support. Technically, he should know about Statistical Modeling , R, Python, Tableau. Qualifications & Skill Sets: The Data Engineer shall have a minimum educational qualification of a recognized Degree in Computer Science/Data Analystics or related studies with a least two (2) yearsâ€™ work experience in research or industry experience pertaining to data analytic.","Candidates with the following of qualifications and expertise are preferred: a)Â  Â  Â  Experience in supporting Big Data initiatives in areas such as cloud computing, data analytics and distributed computing (such as Hadoop, inmemory databases, data modelling, machine leaning algorithms and complex event processing systems) would be an advantage. b)Â  Â  Â  Fluency in statistical software tools such as R, Python, Stata or equivalent"
104,LAZADA SOUTH EAST ASIA PTE. LTD.,"Manager, Data and BI",Central,Contract,Executive,Banking and Finance,Government support available,"$7,000to$9,000Monthly",/job/186d418785ed79532ed72b646b6f4021,20-Mar-18,19-Apr-18," Developing end-to-end Business Intelligence (BI) solutions facilitating business requirements that yield relevant business information in a user-friendly format Ownership of application backend and data pipeline development (From ETL to Dashboard development) Coordinating with stakeholders from the business function as well as Data and BI teams Developing an in-depth understanding of underlying data, data model and business domain by investigating, reviewing and analyzing data from multiple internal and external sources Creating technical documentation of report logic and processes for both - internal usage in BI and documentation for end-users. "," Minimum of Bachelorâ€™s degree in Mathematics, Economics, Computer Science, Information Management, Statistics, Business Analytics or Business Information Systems Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) Experience in working with R or Python is a plus Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, JMP, SPSS, SAS etc) Highly energetic, independent & ability to thrive in a fast-paced start-up environment. 4/5Â years of relevant work experience in data analyst, with knowledge of marketplace operations, logistics, transportation, supply chain or last-mile delivery preferably Good knowledge and understanding of logistics industry and practices, working experience in a well-established 3PL or e-commerce company is a plus Dual language proficiency in Mandarin & English (Speaking and Writing skills) is a strong plus. Demonstrated ability to learn fast, handle multiple tasks, prioritize objectives to meet deadlines. "
105,LAZADA SOUTH EAST ASIA PTE. LTD.,"Manager, Data and BI",Central,Contract,Executive,Banking and Finance,Government support available,"$5,000to$7,500Monthly",/job/187ab74a1c43128b21ecad8294b4373b,20-Mar-18,19-Apr-18," Developing end-to-end Business Intelligence (BI) solutions facilitating business requirements that yield relevant business information in a user-friendly format Ownership of application backend and data pipeline development (From ETL to Dashboard development) Coordinating with stakeholders from the business function as well as Data and BI teams Developing an in-depth understanding of underlying data, data model and business domain by investigating, reviewing and analyzing data from multiple internal and external sources Creating technical documentation of report logic and processes for both - internal usage in BI and documentation for end-users. "," Minimum of Bachelorâ€™s degree in Mathematics, Economics, Computer Science, Information Management, Statistics, Business Analytics or Business Information Systems Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks) Experience in working with R or Python is a plus Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, JMP, SPSS, SAS etc) Highly energetic, independent & ability to thrive in a fast-paced start-up environment. 4/5Â years of relevant work experience in data analyst, with knowledge of marketplace operations, logistics, transportation, supply chain or last-mile delivery preferably Good knowledge and understanding of logistics industry and practices, working experience in a well-established 3PL or e-commerce company is a plus Dual language proficiency in Mandarin & English (Speaking and Writing skills) is a strong plus. Demonstrated ability to learn fast, handle multiple tasks, prioritize objectives to meet deadlines. "
106,DBS BANK LTD.,"Associate / Analyst, Data Engineer, Institutional Banking Group Tech, Technology & Ops (180000XK)",Central,Contract,Professional,Information Technology,Government support available,"$3,000to$6,000Monthly",/job/e61f1f2721090166af552f5090d56b1b,20-Mar-18,19-Apr-18," Design and implement the analytic data pipeline from storage layer to analytics layer. Work with data analyst to productionize the analytic data mart and optimize the performance. Deploy / configure analytic tools and optimize computing environment for analytic projectsÂ  Automation and productionize analytic data marts, deploy analytic projects to production, deploy data science product via either API or batch job, automate the refresh of machine learning models. Deploy real time models. "," Degree in computer science with at least 3 years working experience in big data analytic environment. Excellent data engineering skills with open source big data stack Familiar with deployment and optimization of open source big data analytic stack on distributed environment. Familiar with compiling, deploying and configuring open source data science tools including Python, R, Tensor Flow and GPU computing Familiar with deploying analytic projects and data science products to production Excellent programming skills "
107,ITCONNECTUS PTE. LTD.,Data Center Operator Engineer,Central,Contract,Professional,Information Technology,,"$1,800to$2,500Monthly",/job/0f15f884e09ac02160db0081e8ff6206,18-Apr-18,18-May-18,Technical Talent Specialization: â€¢ Extensive knowledge garnered working as a Data Center Operator â€¢ Thorough knowledge of Data Center Operations with strong knowledge of Operations methodology. â€¢ Strong ability to examine Symantec Netbackup policy backups and perform first level troubleshoots on Windows and UNIX servers. â€¢ Good technical knowledge on Data Centre monitoring tools. â€¢ Possess an in-depth knowledge of data center infrastructure technology and components for installation. â€¢ Strong written and excellent communication skills. Â ,"Must have Talent / Skills: Data Centre Operations, Backup operations, Media Management"
108,A*STAR RESEARCH ENTITIES,Scientist (Data Analytics)  /  I2R (A*STAR),Central,Full Time,Manager,Information Technology,,"$4,500to$9,000Monthly",/job/93b058c07112d6f3e495d0ca9846eeaa,17-Apr-18,17-May-18,"About the Institute for Infocomm Research (IÂ_R) The Institute for Infocomm Research (IÂ_R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singaporeâ€™s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visitÂ www.i2r.a-star.edu.sg We are looking for a capable and responsible scientist to work on and make contributions to big data analytics, in particular for sensory data analytics in the advanced manufacturingÂ and engineering (AME) domain, including machine health analytics and product quality and yield analysis. Successful candidates will be involved in the execution of both industryÂ projects and/or research projects. In addition, the candidate is also required to participate in the drafting of grant proposals and project scoping with industrial partners and/or public sector entities. Not confined to that of AME, the candidate will be given opportunities to participate in projects bringing innovation toÂ various economic sectors, including that of the financial service industry entities. Â "," Ph.D. in the field of computer science, computer engineering, mathematics and statistics, data science intensive programs, with expertise in one or more of the following areas: data mining and management, machine learning, time-series data analytics, etc. Minimum of 2-3 years experience in related field. Ability to work independently to innovate , and to develop prototypes to demonstrate the feasibility of research ideas Good knowledge on data analytics/machine learning/data mining, and experiences in solving real-world data science problems Proficient in Python, R, C++ or Java Able to deliver under tight schedule Good team player with both research and engineering ethics Good interpersonal and communication skills Prior experience with time-series forecasting is a big plus Prior experience with AME industry is a plus  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
